iter	Passed	Remaining
0	0	831
1	1	760
2	2	760
3	3	793
4	3	764
5	4	745
6	5	726
7	5	714
8	6	705
9	7	700
10	7	692
11	8	680
12	8	675
13	9	669
14	10	668
15	10	667
16	11	663
17	12	669
18	12	666
19	13	662
20	14	654
21	14	651
22	15	648
23	15	647
24	16	643
25	17	651
26	18	656
27	19	662
28	19	667
29	20	664
30	21	661
31	21	658
32	22	655
33	22	652
34	23	648
35	24	647
36	24	645
37	25	644
38	26	641
39	26	640
40	27	639
41	28	638
42	28	638
43	29	636
44	29	635
45	30	635
46	31	634
47	32	635
48	32	639
49	33	639
50	34	638
51	34	636
52	35	634
53	36	632
54	36	630
55	37	629
56	38	629
57	38	627
58	39	626
59	40	627
60	40	628
61	41	626
62	42	625
63	42	623
64	43	623
65	44	622
66	44	622
67	45	621
68	45	620
69	46	620
70	47	621
71	48	623
72	48	621
73	49	620
74	50	618
75	50	617
76	51	616
77	52	614
78	52	614
79	53	613
80	53	612
81	54	613
82	55	608
83	55	608
84	56	606
85	56	605
86	57	604
87	58	603
88	58	602
89	59	600
90	59	599
91	60	598
92	61	597
93	62	598
94	62	599
95	63	599
96	64	597
97	64	596
98	65	595
99	66	594
100	66	593
101	67	593
102	68	593
103	69	597
104	70	597
105	70	595
106	71	593
107	71	592
108	72	590
109	72	587
110	73	585
111	73	583
112	74	581
113	74	579
114	75	577
115	75	576
116	75	573
117	76	572
118	77	573
119	78	572
120	78	572
121	79	569
122	79	568
123	80	567
124	80	566
125	81	565
126	82	564
127	82	563
128	83	564
129	84	565
130	85	564
131	85	564
132	86	563
133	87	563
134	87	562
135	88	561
136	89	561
137	89	560
138	90	559
139	90	558
140	91	559
141	92	559
142	93	559
143	94	558
144	94	557
145	95	556
146	95	555
147	96	554
148	96	553
149	97	553
150	98	553
151	99	552
152	99	551
153	100	550
154	100	549
155	101	548
156	102	547
157	102	546
158	103	545
159	103	545
160	104	543
161	104	542
162	105	541
163	106	540
164	106	541
165	108	542
166	108	542
167	109	542
168	110	541
169	110	541
170	111	542
171	112	542
172	113	544
173	114	545
174	115	545
175	116	544
176	116	543
177	117	542
178	118	541
179	118	541
180	119	540
181	120	540
182	121	540
183	122	541
184	123	542
185	123	542
186	124	541
187	125	540
188	126	540
189	126	540
190	127	540
191	128	539
192	128	539
193	129	538
194	130	537
195	130	537
196	131	536
197	132	535
198	132	535
199	133	534
200	134	533
201	134	533
202	135	532
203	136	531
204	136	530
205	137	530
206	138	530
207	139	530
208	140	530
209	140	530
210	141	529
211	142	529
212	143	528
213	143	527
214	144	527
215	145	526
216	145	525
217	146	524
218	146	524
219	147	523
220	148	522
221	148	521
222	149	521
223	150	520
224	150	519
225	151	518
226	151	517
227	152	517
228	153	517
229	154	516
230	155	516
231	155	515
232	156	514
233	157	513
234	157	513
235	158	512
236	158	511
237	159	510
238	159	509
239	160	508
240	161	507
241	161	506
242	162	505
243	162	504
244	163	503
245	163	502
246	164	501
247	165	500
248	165	499
249	166	498
250	166	497
251	167	496
252	168	496
253	169	496
254	169	495
255	170	494
256	170	493
257	171	492
258	171	491
259	172	490
260	172	489
261	173	488
262	173	487
263	174	486
264	175	485
265	175	484
266	175	483
267	176	481
268	176	480
269	177	479
270	177	478
271	178	477
272	178	476
273	179	475
274	179	474
275	180	472
276	180	471
277	181	470
278	181	470
279	182	469
280	183	469
281	184	469
282	184	468
283	185	467
284	185	466
285	186	465
286	186	464
287	187	463
288	188	462
289	188	461
290	189	460
291	189	459
292	190	458
293	190	457
294	190	456
295	191	455
296	191	454
297	192	453
298	192	452
299	193	451
300	193	450
301	194	449
302	194	448
303	195	447
304	196	446
305	196	445
306	197	445
307	197	444
308	198	443
309	199	443
310	199	442
311	200	441
312	200	440
313	201	439
314	201	438
315	202	437
316	202	436
317	203	435
318	203	434
319	203	433
320	204	432
321	204	431
322	205	430
323	205	429
324	206	428
325	206	427
326	207	426
327	207	425
328	208	424
329	208	423
330	209	422
331	209	421
332	210	420
333	210	420
334	211	419
335	211	418
336	212	417
337	213	417
338	214	417
339	214	416
340	215	415
341	215	414
342	215	413
343	216	412
344	216	411
345	217	410
346	217	409
347	218	408
348	218	407
349	219	407
350	219	406
351	220	405
352	220	404
353	221	403
354	221	402
355	222	401
356	222	400
357	222	399
358	223	399
359	223	398
360	224	397
361	225	396
362	225	395
363	226	394
364	226	394
365	227	393
366	227	392
367	228	392
368	229	391
369	229	390
370	230	390
371	230	389
372	231	388
373	231	387
374	232	386
375	232	385
376	233	385
377	233	384
378	233	383
379	234	382
380	234	381
381	235	380
382	235	380
383	236	379
384	236	378
385	237	377
386	237	376
387	238	375
388	238	375
389	239	374
390	239	373
391	240	372
392	240	372
393	241	371
394	241	370
395	242	369
396	243	369
397	243	368
398	244	368
399	244	367
400	245	366
401	246	365
402	246	365
403	247	364
404	247	363
405	247	362
406	248	361
407	248	361
408	249	360
409	249	359
410	250	358
411	250	357
412	251	357
413	251	356
414	252	355
415	252	354
416	253	354
417	253	353
418	254	352
419	254	351
420	255	351
421	255	350
422	256	349
423	256	348
424	257	348
425	257	347
426	258	346
427	259	346
428	259	345
429	260	344
430	260	344
431	261	343
432	261	342
433	262	341
434	262	341
435	263	340
436	263	339
437	264	339
438	264	338
439	265	337
440	265	337
441	266	336
442	267	335
443	267	335
444	268	334
445	269	334
446	269	333
447	270	332
448	270	332
449	271	331
450	271	330
451	272	330
452	272	329
453	273	329
454	274	328
455	275	328
456	275	327
457	276	327
458	276	326
459	277	325
460	278	325
461	278	324
462	279	324
463	279	323
464	280	322
465	281	322
466	282	321
467	283	321
468	283	321
469	284	320
470	285	320
471	285	319
472	286	319
473	287	318
474	287	317
475	288	317
476	289	317
477	290	316
478	290	316
479	291	315
480	292	315
481	293	314
482	293	314
483	294	314
484	295	313
485	296	313
486	296	312
487	297	312
488	298	311
489	299	311
490	300	311
491	300	310
492	301	310
493	302	310
494	303	309
495	305	310
496	306	309
